sni,delta,payload,ttl,ip_flags
bet7k.com,0.004757,01020304050607080900,58,
beacons.ai,0.002634,01020304050607080900,58,
stocktwits.com,0.003318,01020304050607080900,58,
javmix.tv,0.002633,01020304050607080900,58,
ipsos.com,0.0024,01020304050607080900,58,
masterclass.com,0.003594,01020304050607080900,58,
javgg.net,0.002456,01020304050607080900,58,
key-drop.com,0.002409,01020304050607080900,58,
pornfactory.info,0.002428,01020304050607080900,58,
vatanbilgisayar.com,0.002476,01020304050607080900,58,
forocoches.com,0.002724,01020304050607080900,58,
mb-mods.net,0.002377,01020304050607080900,58,
hentai2read.com,0.004887,01020304050607080900,58,
nefisyemektarifleri.com,0.002924,01020304050607080900,58,
nature.org,0.003708,01020304050607080900,58,
violity.com,0.002494,01020304050607080900,58,
pornogramxxx.com,0.002524,01020304050607080900,58,
photoacompanhantes.com,0.003625,01020304050607080900,58,
vyvymanga.net,0.002744,01020304050607080900,58,
xiaobaotv.net,0.003821,01020304050607080900,58,
gizmoxxx.com,0.002522,01020304050607080900,58,
sport.ro,0.002563,01020304050607080900,58,
comic-walker.com,0.002995,01020304050607080900,58,
shonenjumpplus.com,0.002527,01020304050607080900,58,
thisav.com,0.002484,01020304050607080900,58,
nickfinder.com,0.002703,01020304050607080900,58,
fullxh.com,0.002681,01020304050607080900,58,
xhvictory.com,0.003244,01020304050607080900,58,
manhuafast.com,0.002649,01020304050607080900,58,
xhchannel2.com,0.002551,01020304050607080900,58,
cnnamador.com,0.002601,01020304050607080900,58,
etstur.com,0.002518,01020304050607080900,58,
i.pl,0.002776,01020304050607080900,58,
almaany.com,0.002439,01020304050607080900,58,
avsee.in,0.002722,01020304050607080900,58,
milf300.com,0.004485,01020304050607080900,58,
profesia.sk,0.005134,01020304050607080900,58,
kamababa.desi,0.002456,01020304050607080900,58,
godaddysites.com,0.004726,01020304050607080900,58,
nettiauto.com,0.00497,01020304050607080900,58,
esuteru.com,0.002432,01020304050607080900,58,
at.ua,0.002448,01020304050607080900,58,
leafly.com,0.002421,01020304050607080900,58,
xoilacz.com,0.002398,01020304050607080900,58,
highcharts.com,0.002435,01020304050607080900,58,
zonaprop.com.ar,0.00255,01020304050607080900,58,
parliament.uk,0.003258,01020304050607080900,58,
doodhwali.net,0.002535,01020304050607080900,58,
yanmaga.jp,0.003868,01020304050607080900,58,
aylink.co,0.002515,01020304050607080900,58,
nan-net.com,0.002528,01020304050607080900,58,
suki-kira.com,0.004034,01020304050607080900,58,
mangarawjp.io,0.002624,01020304050607080900,58,
mangaraw.to,0.003167,01020304050607080900,58,
yadong.best,0.002446,01020304050607080900,58,
indiangaysite.com,0.002598,01020304050607080900,58,
javidol.org,0.002468,01020304050607080900,58,
mcpehub.org,0.002526,01020304050607080900,58,
pokepara.jp,0.236346,01020304050607080900,58,
xfreehd.com,0.002419,01020304050607080900,58,
phimsexvip.cc,0.003867,01020304050607080900,58,
wfxs.tw,0.003357,01020304050607080900,58,
